id,x,y,prob
420,-2.1,-1.7,0.000102623
421,-2,-1.7,8.86E-05
422,-1.9,-1.7,7.66E-05
423,-1.8,-1.7,6.63E-05
424,-1.7,-1.7,5.74E-05
425,-1.6,-1.7,4.98E-05
426,-1.5,-1.7,4.33E-05
427,-1.4,-1.7,3.76E-05
428,-1.3,-1.7,3.28E-05
429,-1.2,-1.7,2.87E-05
430,-1.1,-1.7,2.53E-05
431,-1,-1.7,2.25E-05
432,-0.9,-1.7,2.05E-05
433,-0.8,-1.7,1.96E-05
434,-0.7,-1.7,2.03E-05
435,-0.6,-1.7,2.36E-05
436,-0.5,-1.7,3.12E-05
437,-0.4,-1.7,4.56E-05
438,-0.3,-1.7,7.05E-05
439,-0.2,-1.7,0.000109427
440,-0.1,-1.7,0.000164045
441,0,-1.7,0.000232148
442,0.1,-1.7,0.000307681
443,0.2,-1.7,0.000383723
444,0.3,-1.7,0.000455678
445,0.4,-1.7,0.000522122
446,0.5,-1.7,0.000583691
447,0.6,-1.7,0.000641616
448,0.7,-1.7,0.000696675
449,0.8,-1.7,0.000748458
450,0.9,-1.7,0.000794583
451,1,-1.7,0.00082956
452,1.1,-1.7,0.000843491
453,1.2,-1.7,0.000822016
454,1.3,-1.7,0.000751059
455,1.4,-1.7,0.000628766
456,1.5,-1.7,0.000475855
457,1.6,-1.7,0.000326974
458,1.7,-1.7,0.000208007
459,1.8,-1.7,0.000125502
460,1.9,-1.7,7.33E-05
461,2,-1.7,4.20E-05
462,2.1,-1.7,2.39E-05
463,2.2,-1.7,1.35E-05
464,2.3,-1.7,7.61E-06
465,2.4,-1.7,4.30E-06
466,2.5,-1.7,2.43E-06
467,2.6,-1.7,1.38E-06
468,2.7,-1.7,7.88E-07
469,2.8,-1.7,4.54E-07
470,2.9,-1.7,2.67E-07
471,3,-1.7,1.65E-07
472,3.1,-1.7,1.15E-07
473,3.2,-1.7,1.00E-07
474,3.3,-1.7,1.17E-07
475,3.4,-1.7,1.70E-07
476,3.5,-1.7,2.78E-07
477,3.6,-1.7,4.76E-07
478,3.7,-1.7,8.31E-07
479,3.8,-1.7,1.46E-06
480,3.9,-1.7,2.56E-06
481,4,-1.7,4.51E-06
482,4.1,-1.7,7.93E-06
483,4.2,-1.7,1.40E-05
484,-2.6,-1.65,0.000300261
485,-2.5,-1.65,0.000255386
486,-2.4,-1.65,0.000218349
487,-2.3,-1.65,0.000187292
488,-2.2,-1.65,0.000161022
489,-2.1,-1.65,0.000138684
490,-2,-1.65,0.000119629
491,-1.9,-1.65,0.000103334
492,-1.8,-1.65,8.94E-05
493,-1.7,-1.65,7.74E-05
494,-1.6,-1.65,6.71E-05
495,-1.5,-1.65,5.83E-05
496,-1.4,-1.65,5.06E-05
497,-1.3,-1.65,4.41E-05
498,-1.2,-1.65,3.85E-05
499,-1.1,-1.65,3.38E-05
500,-1,-1.65,3.00E-05
501,-0.9,-1.65,2.72E-05
502,-0.8,-1.65,2.56E-05
503,-0.7,-1.65,2.59E-05
504,-0.6,-1.65,2.92E-05
505,-0.5,-1.65,3.74E-05
506,-0.4,-1.65,5.36E-05
507,-0.3,-1.65,8.20E-05
508,-0.2,-1.65,0.00012736
509,-0.1,-1.65,0.000192562
510,0,-1.65,0.000276003
511,0.1,-1.65,0.000370897
512,0.2,-1.65,0.000468366
513,0.3,-1.65,0.000561735
514,0.4,-1.65,0.000648327
515,0.5,-1.65,0.000728452
516,0.6,-1.65,0.000803545
517,0.7,-1.65,0.000874705
518,0.8,-1.65,0.000941704
519,0.9,-1.65,0.001002019
520,1,-1.65,0.001049507
521,1.1,-1.65,0.001072768
522,1.2,-1.65,0.001054619
523,1.3,-1.65,0.000976598
524,1.4,-1.65,0.000832425
525,1.5,-1.65,0.000642839
526,1.6,-1.65,0.000450083
527,1.7,-1.65,0.000290598
528,1.8,-1.65,0.000177177
529,1.9,-1.65,0.000104199
530,2,-1.65,6.00E-05
531,2.1,-1.65,3.42E-05
532,2.2,-1.65,1.94E-05
533,2.3,-1.65,1.10E-05
534,2.4,-1.65,6.20E-06
535,2.5,-1.65,3.51E-06
536,2.6,-1.65,2.00E-06
537,2.7,-1.65,1.15E-06
538,2.8,-1.65,6.63E-07
539,2.9,-1.65,3.93E-07
540,3,-1.65,2.47E-07
541,3.1,-1.65,1.77E-07
542,3.2,-1.65,1.61E-07
543,3.3,-1.65,1.96E-07
544,3.4,-1.65,2.93E-07
545,3.5,-1.65,4.84E-07
546,3.6,-1.65,8.32E-07
547,3.7,-1.65,1.45E-06
548,3.8,-1.65,2.55E-06
549,3.9,-1.65,4.49E-06
550,4,-1.65,7.89E-06
551,4.1,-1.65,1.39E-05
552,4.2,-1.65,2.44E-05
553,-2.6,-1.6,0.000408676
554,-2.5,-1.6,0.000346715
555,-2.4,-1.6,0.000295962
556,-2.3,-1.6,0.000253585
557,-2.2,-1.6,0.000217828
558,-2.1,-1.6,0.000187472
559,-2,-1.6,0.000161604
560,-1.9,-1.6,0.000139504
561,-1.8,-1.6,0.000120586
562,-1.7,-1.6,0.000104364
563,-1.6,-1.6,9.04E-05
564,-1.5,-1.6,7.85E-05
565,-1.4,-1.6,6.82E-05
566,-1.3,-1.6,5.93E-05
567,-1.2,-1.6,5.18E-05
568,-1.1,-1.6,4.54E-05
569,-1,-1.6,4.01E-05
570,-0.9,-1.6,3.61E-05
571,-0.8,-1.6,3.36E-05
572,-0.7,-1.6,3.33E-05
573,-0.6,-1.6,3.64E-05
574,-0.5,-1.6,4.52E-05
575,-0.4,-1.6,6.31E-05
576,-0.3,-1.6,9.55E-05
577,-0.2,-1.6,0.000148055
578,-0.1,-1.6,0.000225416
579,0,-1.6,0.000326977
580,0.1,-1.6,0.000445463
581,0.2,-1.6,0.000569805
582,0.3,-1.6,0.000690621
583,0.4,-1.6,0.000803362
584,0.5,-1.6,0.00090767
585,0.6,-1.6,0.001005094
586,0.7,-1.6,0.001097101
587,0.8,-1.6,0.001183711
588,0.9,-1.6,0.001262289
589,1,-1.6,0.001325984
590,1.1,-1.6,0.001361735
591,1.2,-1.6,0.001349189
592,1.3,-1.6,0.001264813
593,1.4,-1.6,0.001096628
594,1.5,-1.6,0.00086394
595,1.6,-1.6,0.000616724
596,1.7,-1.6,0.000404576
597,1.8,-1.6,0.000249538
598,1.9,-1.6,0.000147917
599,2,-1.6,8.57E-05
600,2.1,-1.6,4.90E-05
601,2.2,-1.6,2.78E-05
602,2.3,-1.6,1.58E-05
603,2.4,-1.6,8.95E-06
604,2.5,-1.6,5.09E-06
605,2.6,-1.6,2.90E-06
606,2.7,-1.6,1.67E-06
607,2.8,-1.6,9.70E-07
608,2.9,-1.6,5.80E-07
609,3,-1.6,3.71E-07
610,3.1,-1.6,2.75E-07
611,3.2,-1.6,2.62E-07
612,3.3,-1.6,3.31E-07
613,3.4,-1.6,5.05E-07
614,3.5,-1.6,8.43E-07
615,3.6,-1.6,1.45E-06
616,3.7,-1.6,2.54E-06
617,3.8,-1.6,4.46E-06
618,3.9,-1.6,7.85E-06
619,4,-1.6,1.38E-05
620,4.1,-1.6,2.43E-05
621,4.2,-1.6,4.28E-05
622,-2.6,-1.55,0.000556912
623,-2.5,-1.55,0.000471056
624,-2.4,-1.55,0.000401366
625,-2.3,-1.55,0.000343476
626,-2.2,-1.55,0.000294771
627,-2.1,-1.55,0.000253497
628,-2,-1.55,0.000218368
629,-1.9,-1.55,0.000188385
630,-1.8,-1.55,0.000162737
631,-1.7,-1.55,0.000140759
632,-1.6,-1.55,0.000121898
633,-1.5,-1.55,0.000105694
634,-1.4,-1.55,9.18E-05
635,-1.3,-1.55,7.98E-05
636,-1.2,-1.55,6.95E-05
637,-1.1,-1.55,6.08E-05
638,-1,-1.55,5.36E-05
639,-0.9,-1.55,4.79E-05
640,-0.8,-1.55,4.41E-05
641,-0.7,-1.55,4.29E-05
642,-0.6,-1.55,4.57E-05
643,-0.5,-1.55,5.49E-05
644,-0.4,-1.55,7.48E-05
645,-0.3,-1.55,0.000111301
646,-0.2,-1.55,0.000171984
647,-0.1,-1.55,0.00026322
648,0,-1.55,0.000386021
649,0.1,-1.55,0.000533016
650,0.2,-1.55,0.000690806
651,0.3,-1.55,0.000846606
652,0.4,-1.55,0.000993181
653,0.5,-1.55,0.001128968
654,0.6,-1.55,0.001255447
655,0.7,-1.55,0.001374469
656,0.8,-1.55,0.001486369
657,0.9,-1.55,0.001588433
658,1,-1.55,0.001673047
659,1.1,-1.55,0.001725303
660,1.2,-1.55,0.001721311
661,1.3,-1.55,0.001631745
662,1.4,-1.55,0.001437571
663,1.5,-1.55,0.001154856
664,1.6,-1.55,0.000840887
665,1.7,-1.55,0.000561054
666,1.8,-1.55,0.000350487
667,1.9,-1.55,0.000209613
668,2,-1.55,0.000122123
669,2.1,-1.55,7.01E-05
670,2.2,-1.55,4.00E-05
671,2.3,-1.55,2.27E-05
672,2.4,-1.55,1.29E-05
673,2.5,-1.55,7.37E-06
674,2.6,-1.55,4.22E-06
675,2.7,-1.55,2.43E-06
676,2.8,-1.55,1.42E-06
677,2.9,-1.55,8.59E-07
678,3,-1.55,5.60E-07
679,3.1,-1.55,4.30E-07
680,3.2,-1.55,4.30E-07
681,3.3,-1.55,5.63E-07
682,3.4,-1.55,8.74E-07
683,3.5,-1.55,1.47E-06
684,3.6,-1.55,2.54E-06
685,3.7,-1.55,4.45E-06
686,3.8,-1.55,7.81E-06
687,3.9,-1.55,1.37E-05
688,4,-1.55,2.42E-05
689,4.1,-1.55,4.25E-05
690,4.2,-1.55,7.49E-05
691,-2.6,-1.5,0.000759999
692,-2.5,-1.5,0.000640533
693,-2.4,-1.5,0.000544613
694,-2.3,-1.5,0.000465422
695,-2.2,-1.5,0.000399026
696,-2.1,-1.5,0.000342877
697,-2,-1.5,0.000295153
698,-1.9,-1.5,0.000254459
699,-1.8,-1.5,0.000219677
700,-1.7,-1.5,0.000189893
701,-1.6,-1.5,0.00016435
702,-1.5,-1.5,0.000142414
703,-1.4,-1.5,0.000123562
704,-1.3,-1.5,0.000107362
705,-1.2,-1.5,9.35E-05
706,-1.1,-1.5,8.16E-05
707,-1,-1.5,7.18E-05
708,-0.9,-1.5,6.39E-05
709,-0.8,-1.5,5.82E-05
710,-0.7,-1.5,5.57E-05
711,-0.6,-1.5,5.78E-05
712,-0.5,-1.5,6.73E-05
713,-0.4,-1.5,8.90E-05
714,-0.3,-1.5,0.000130089
715,-0.2,-1.5,0.000199727
716,-0.1,-1.5,0.000306692
717,0,-1.5,0.000454196
718,0.1,-1.5,0.000635351
719,0.2,-1.5,0.000834446
720,0.3,-1.5,0.001034562
721,0.4,-1.5,0.001224737
722,0.5,-1.5,0.001401432
723,0.6,-1.5,0.001565712
724,0.7,-1.5,0.001719762
725,0.8,-1.5,0.001864294
726,0.9,-1.5,0.001996547
727,1,-1.5,0.002108079
728,1.1,-1.5,0.002181925
729,1.2,-1.5,0.002190253
730,1.3,-1.5,0.002097201
731,1.4,-1.5,0.001875265
732,1.5,-1.5,0.001535164
733,1.6,-1.5,0.001140425
734,1.7,-1.5,0.000774647
735,1.8,-1.5,0.000490709
736,1.9,-1.5,0.000296423
737,2,-1.5,0.00017391
738,2.1,-1.5,0.000100364
739,2.2,-1.5,5.74E-05
740,2.3,-1.5,3.28E-05
741,2.4,-1.5,1.87E-05
742,2.5,-1.5,1.07E-05
743,2.6,-1.5,6.13E-06
744,2.7,-1.5,3.55E-06
745,2.8,-1.5,2.09E-06
746,2.9,-1.5,1.28E-06
747,3,-1.5,8.50E-07
748,3.1,-1.5,6.77E-07
749,3.2,-1.5,7.09E-07
750,3.3,-1.5,9.59E-07
751,3.4,-1.5,1.52E-06
752,3.5,-1.5,2.56E-06
753,3.6,-1.5,4.44E-06
754,3.7,-1.5,7.78E-06
755,3.8,-1.5,1.37E-05
756,3.9,-1.5,2.40E-05
757,4,-1.5,4.23E-05
758,4.1,-1.5,7.45E-05
759,4.2,-1.5,0.000131043
760,-2.6,-1.45,0.001038896
761,-2.5,-1.45,0.000871841
762,-2.4,-1.45,0.000739445
763,-2.3,-1.45,0.00063094
764,-2.2,-1.45,0.000540342
765,-2.1,-1.45,0.000463911
766,-2,-1.45,0.000399048
767,-1.9,-1.45,0.000343797
768,-1.8,-1.45,0.000296615
769,-1.7,-1.45,0.000256241
770,-1.6,-1.45,0.000221637
771,-1.5,-1.45,0.000191937
772,-1.4,-1.45,0.000166421
773,-1.3,-1.45,0.000144495
774,-1.2,-1.45,0.000125684
775,-1.1,-1.45,0.000109632
776,-1,-1.45,9.61E-05
777,-0.9,-1.45,8.52E-05
778,-0.8,-1.45,7.71E-05
779,-0.7,-1.45,7.26E-05
780,-0.6,-1.45,7.36E-05
781,-0.5,-1.45,8.31E-05
782,-0.4,-1.45,0.000106625
783,-0.3,-1.45,0.00015251
784,-0.2,-1.45,0.000232003
785,-0.1,-1.45,0.000356683
786,0,-1.45,0.000532701
787,0.1,-1.45,0.000754438
788,0.2,-1.45,0.001004116
789,0.3,-1.45,0.001259978
790,0.4,-1.45,0.001506078
791,0.5,-1.45,0.001735805
792,0.6,-1.45,0.001949232
